,timestamp,image,camera_id,latitude,longitude,height,width,md5,status,date,time,time zone
20,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/648a257f-8599-4ab8-b0d0-13821f712c06.jpg,3793,1.309330837,103.9350504,480,640,ef6f79ae4a8fced902d61f5c5593375f,healthy,2019-01-01,05:59:41,08:00
21,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/864cf307-56e8-4f3f-b81a-281d9c636400.jpg,3795,1.30145145166066,103.910596320237,480,640,dd5bcd4cce0ccf2dde478eef0274089e,healthy,2019-01-01,05:59:41,08:00
22,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/365e3acf-904b-4f45-ba1c-5274b439f7e4.jpg,3796,1.297512569,103.8983019,480,640,de8e563341f28febee628122643b634a,healthy,2019-01-01,05:59:41,08:00
23,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/42ac2c57-7fe3-44de-b6fe-bd1607269634.jpg,3797,1.29565733262976,103.885283049309,288,384,d063b147cd99029a38c286204afa09a7,healthy,2019-01-01,05:59:41,08:00
24,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/e5ac1d05-55c3-4a0a-a8fb-a3eb7d5df713.jpg,3798,1.29158484,103.8615987,288,384,d2b9a65b646d9ea5e6f2799f718828fd,healthy,2019-01-01,05:59:41,08:00
25,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/ce65a0a5-722f-4976-ba41-0e9017abe0ee.jpg,4701,1.2871,103.79633,288,384,4698172272e6377907e730b0722f3766,healthy,2019-01-01,05:59:41,08:00
26,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/d0fa2338-6ec4-4062-9489-6d24566124b4.jpg,4702,1.27237,103.8324,288,384,e7b0ce6e507b0c114fd041d15a8131ef,healthy,2019-01-01,05:59:41,08:00
27,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/a716589b-47cb-484b-bada-a32baf73f395.jpg,4703,1.348697862,103.6350413,480,640,4879fdf44f30698606b1010e021aab13,healthy,2019-01-01,05:59:41,08:00
28,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/d86657de-8344-4fd9-b78a-a8c87f375f04.jpg,4704,1.27877,103.82375,288,384,61ea4a1ea2af7dcc4a387fb3ac640d51,healthy,2019-01-01,05:59:41,08:00
29,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/db0b9ed8-7e6e-47db-8af3-a1ed7274bef4.jpg,4705,1.32618,103.73028,480,640,754e3195e77234a98995f8ba55144001,healthy,2019-01-01,05:59:41,08:00
30,2019-01-01T05:59:21+08:00,https://images.data.gov.sg/api/traffic-images/2018/12/d9d35c75-c150-49da-ab1a-f2e95bd03fca.jpg,4706,1.29792,103.78205,288,384,d4eff52dd6de60e5046bfe1199db5782,healthy,2019-01-01,05:59:41,08:00
